commit_id,files_changed,lines_added,lines_deleted,test_count,previous_runtime_sec,previous_failure,build_time_sec,test_time_sec,cpu_usage_pct,memory_usage_mb,result,timestamp
c_caed7e0,8,115,1,24,0.37,0,0.035,1.109,38.1,107.07,1,1789033682.4288757
c_c979657,2,73,21,24,1.144,1,0.024,1.103,32.47,103.25,1,1789033862.4288757
c_c5eff0e,1,16,26,24,1.127,1,0.016,1.102,61.58,119.34,0,1789034042.4288757
c_b20cd75,3,6,25,6,1.118,0,0.015,0.346,32.73,115.15,0,1789034222.4288757
c_f559ea5,2,49,5,24,0.362,0,0.022,1.099,43.06,105.78,0,1789034402.4288757
c_51d696b,3,51,22,24,1.121,0,0.021,1.089,33.61,115.29,0,1789034582.4288757
c_f683278,4,296,3,24,1.111,0,0.058,1.123,17.76,112.83,1,1789034762.4288757
c_be2f611,1,54,19,24,1.181,1,0.022,1.108,21.34,101.08,1,1789034942.4288757
c_ea0b5bc,2,8,17,6,1.13,1,0.015,0.339,31.53,113.28,1,1789035122.4288757
c_42bc7df,6,38,22,24,0.355,1,0.02,1.09,19.87,118.79,1,1789035302.4288757
c_cc52f38,3,67,20,24,1.11,1,0.023,1.108,26.37,120.34,0,1789035482.4288757
c_6972a2f,6,7,47,24,1.131,0,0.016,1.087,15.51,115.12,0,1789035662.4288757
c_6551766,1,38,11,24,1.103,0,0.021,1.085,22.15,111.95,0,1789035842.4288757
c_e04c5b4,3,12,24,6,1.105,0,0.016,0.343,49.08,120.46,0,1789036022.4288757
c_02e92aa,3,21,8,6,0.359,0,0.017,0.347,12.69,111.2,0,1789036202.4288757
c_9c6c7b3,1,14,38,24,0.364,0,0.018,1.093,37.23,105.32,0,1789036382.4288757
c_6353f2b,3,17,6,6,1.111,0,0.016,0.365,32.42,111.54,0,1789036562.4288757
c_34f9cef,3,57,1,24,0.381,0,0.031,1.141,59.6,119.62,1,1789036742.4288757
c_df44532,6,138,60,12,1.172,1,0.039,0.666,47.98,118.38,0,1789036922.4288757
c_97ca3d3,1,64,11,6,0.705,0,0.024,0.39,64.22,113.97,0,1789037102.4288757
c_ef4842c,3,6,11,24,0.414,0,0.015,1.093,41.44,116.87,0,1789037282.4288757
c_dc023e3,5,88,37,24,1.108,0,0.026,1.114,30.57,119.71,0,1789037462.4288757
c_cd6e055,1,67,4,24,1.14,0,0.029,1.106,61.38,107.81,0,1789037642.4288757
c_c731324,6,44,56,12,1.134,0,0.024,0.61,37.24,120.55,0,1789037822.4288757
c_e045ea9,2,6,11,24,0.634,0,0.015,1.133,33.27,120.93,0,1789038002.4288757
c_205decf,2,104,48,24,1.148,0,0.031,1.098,28.54,106.28,0,1789038182.4288757
c_1e9d752,1,5,8,6,1.129,0,0.015,0.364,32.7,114.13,0,1789038362.4288757
c_3f4ddd0,5,204,60,24,0.38,0,0.044,1.163,33.71,103.13,0,1789038542.4288757
c_d6ba535,1,51,15,24,1.208,0,0.024,1.12,50.69,107.67,0,1789038722.4288757
c_f1478d3,2,47,2,6,1.144,0,0.021,0.344,24.9,115.3,0,1789038902.4288757
c_89665b0,3,68,27,6,0.365,0,0.028,0.357,62.78,117.98,0,1789039082.4288757
c_fa97517,5,54,7,12,0.385,0,0.022,0.6,30.41,109.85,0,1789039262.4288757
c_32f69e8,3,35,9,24,0.621,0,0.02,1.12,40.43,114.54,0,1789039442.4288757
c_c1c2caa,3,88,54,12,1.141,0,0.027,0.617,27.57,101.62,0,1789039622.4288757
c_e40fb70,1,60,20,6,0.644,0,0.024,0.368,38.21,106.9,0,1789039802.4288757
c_44d4012,2,58,1,24,0.392,0,0.024,1.132,18.44,109.47,0,1789039982.4288757
c_93771d3,9,128,17,24,1.156,0,0.037,1.132,58.72,103.73,0,1789040162.4288757
c_7842ffe,2,168,69,18,1.169,0,0.038,0.876,47.37,119.15,0,1789040342.4288757
c_af1dbf6,2,43,22,6,0.914,0,0.023,0.374,38.66,105.13,0,1789040522.4288757
c_9cde18b,2,94,21,18,0.397,0,0.032,0.854,19.72,119.82,0,1789040702.4288757
c_6322b74,8,39,68,24,0.886,0,0.02,1.112,33.66,105.14,1,1789040882.4288757
c_10a3d22,9,268,53,24,1.132,1,0.051,1.115,23.76,105.46,0,1789041062.4288757
c_210e2fb,1,22,1,6,1.166,0,0.018,0.345,33.76,110.77,0,1789041242.4288757
c_a481522,6,123,14,12,0.363,0,0.031,0.605,34.78,116.25,1,1789041422.4288757
c_a32cbe9,2,39,8,24,0.636,1,0.022,1.086,33.76,102.7,1,1789041602.4288757
c_22a950d,4,125,15,24,1.109,1,0.032,1.09,40.06,107.7,0,1789041782.4288757
c_c9f6d30,1,41,2,6,1.122,0,0.02,0.342,52.41,118.32,0,1789041962.4288757
c_be775d9,3,28,30,6,0.363,0,0.021,0.334,32.59,113.46,0,1789042142.4288757
c_d3557c4,7,108,62,24,0.355,0,0.03,1.101,32.1,116.78,1,1789042322.4288757
c_ed8b0d6,1,33,29,24,1.13,1,0.02,1.098,36.23,103.65,1,1789042502.4288757
c_69f2caf,3,116,10,24,1.118,1,0.032,1.092,13.07,117.28,1,1789042682.4288757
c_c65b1d7,2,62,23,24,1.124,1,0.023,1.093,25.39,118.37,0,1789042862.4288757
c_aa02824,2,62,14,6,1.116,0,0.023,0.353,20.17,116.57,0,1789043042.4288757
c_803e5b1,1,62,10,24,0.375,0,0.024,1.086,30.3,105.18,0,1789043222.4288757
c_2adf0b0,5,93,82,24,1.11,0,0.028,1.11,28.76,105.21,0,1789043402.4288757
c_dc37d24,4,14,40,24,1.137,0,0.017,1.1,23.14,106.37,0,1789043582.4288757
c_50b5c5e,3,12,15,6,1.117,0,0.016,0.356,31.22,113.3,0,1789043762.4288757
c_a1aed66,3,28,16,24,0.372,0,0.024,1.091,48.65,102.03,0,1789043942.4288757
c_89ddcc4,1,23,1,18,1.115,0,0.017,0.837,62.35,112.99,0,1789044122.4288757
c_f1b99b9,4,74,13,24,0.854,0,0.025,1.096,40.91,115.92,0,1789044302.4288757
c_380e55d,1,31,8,6,1.121,0,0.019,0.359,21.34,119.59,0,1789044482.4288757
c_f1041b7,12,215,58,24,0.378,0,0.046,1.179,41.31,102.14,0,1789044662.4288757
c_7adf986,1,81,53,12,1.225,0,0.029,0.598,44.54,102.53,0,1789044842.4288757
c_d157a0a,3,10,18,24,0.627,0,0.017,1.107,37.06,115.37,0,1789045022.4288757
c_ed34176,2,70,9,24,1.124,0,0.026,1.106,27.92,112.81,0,1789045202.4288757
c_a8f721c,1,14,6,24,1.132,0,0.018,1.114,29.85,119.37,0,1789045382.4288757
c_31aa04f,3,66,12,24,1.132,0,0.023,1.097,26.08,113.14,0,1789045562.4288757
c_79acd88,2,162,20,24,1.12,0,0.038,1.105,33.41,111.51,1,1789045742.4288757
c_3e7b05a,2,19,13,24,1.143,1,0.018,1.098,17.19,114.01,0,1789045922.4288757
c_240d5c1,3,96,60,24,1.115,0,0.028,1.112,36.49,114.62,0,1789046102.4288757
c_f608f82,3,24,13,24,1.139,0,0.017,1.085,57.22,118.3,0,1789046282.4288757
c_5c92ac5,6,99,8,24,1.102,0,0.028,1.103,33.78,120.98,0,1789046462.4288757
c_bc0cb58,3,51,22,24,1.131,0,0.022,1.101,25.24,116.18,0,1789046642.4288757
c_a9bb7f8,4,89,11,12,1.122,0,0.032,0.583,55.15,102.26,1,1789046822.4288757
c_14151bb,5,92,40,24,0.615,1,0.028,1.115,41.14,105.48,0,1789047002.4288757
c_5b696c3,1,149,47,24,1.143,0,0.037,1.11,19.7,120.65,0,1789047182.4288757
c_4f07569,6,154,4,24,1.147,0,0.036,1.11,24.34,119.65,0,1789047362.4288757
c_bce2fe6,1,26,15,6,1.146,0,0.018,0.432,42.41,119.94,0,1789047542.4288757
c_a404353,2,30,20,6,0.45,0,0.025,0.396,41.91,103.86,0,1789047722.4288757
c_e252d10,6,144,59,24,0.42,0,0.035,1.099,25.35,104.38,0,1789047902.4288757
c_6418b60,11,84,101,24,1.134,0,0.028,1.109,10.79,115.83,1,1789048082.4288757
c_d7db3d6,3,26,14,6,1.137,1,0.018,0.348,39.09,121.35,0,1789048262.4288757
c_2e0cebe,3,28,18,24,0.366,0,0.018,1.103,39.96,104.51,1,1789048442.4288757
c_337e75f,6,19,48,24,1.121,1,0.018,1.094,24.52,108.94,0,1789048622.4288757
c_5f1825f,3,34,3,6,1.113,0,0.021,0.355,75.77,112.46,0,1789048802.4288757
c_eee22c4,4,95,52,24,0.376,0,0.028,1.116,21.91,102.5,0,1789048982.4288757
c_dd220f2,3,49,82,24,1.144,0,0.022,1.171,36.4,120.43,0,1789049162.4288757
c_ee51358,5,55,73,24,1.193,0,0.025,1.097,58.81,118.41,0,1789049342.4288757
c_822a6f3,1,37,27,6,1.122,0,0.022,0.349,29.01,121.5,0,1789049522.4288757
c_7bf3b8b,2,23,17,24,0.37,0,0.018,1.103,54.93,111.55,0,1789049702.4288757
c_fa896d4,3,12,5,24,1.122,0,0.025,1.093,54.41,120.9,0,1789049882.4288757
c_bfae231,1,75,12,24,1.118,0,0.025,1.097,21.56,112.85,0,1789050062.4288757
c_6629473,1,101,42,12,1.122,0,0.028,0.585,29.64,112.99,0,1789050242.4288757
c_44bdd72,2,28,1,24,0.614,0,0.018,1.095,37.13,111.56,1,1789050422.4288757
c_f381b4e,3,13,0,6,1.113,1,0.017,0.35,36.49,107.9,0,1789050602.4288757
c_55caaa2,1,48,29,24,0.367,0,0.021,1.112,20.52,110.45,0,1789050782.4288757
c_a2d5278,3,58,60,12,1.133,0,0.031,0.624,53.69,118.04,0,1789050962.4288757
c_89f2f17,1,55,1,24,0.655,0,0.023,1.107,22.5,102.62,1,1789051142.4288757
c_85b184c,1,68,3,6,1.13,1,0.024,0.355,24.52,104.73,0,1789051322.4288757
c_1093262,2,48,18,6,0.379,0,0.022,0.382,43.39,106.89,0,1789051502.4288757
c_98e59c3,2,63,0,6,0.404,0,0.027,0.334,38.4,116.82,0,1789051682.4288757
c_ac18573,9,105,24,24,0.361,0,0.034,1.109,46.68,108.64,0,1789051862.4288757
c_0f17c4f,1,56,16,24,1.143,0,0.025,1.101,41.12,106.86,0,1789052042.4288757
c_c317c59,3,44,25,24,1.126,0,0.023,1.143,44.64,112.2,0,1789052222.4288757
c_fd3c5c4,9,198,79,24,1.166,0,0.057,1.151,63.26,115.87,0,1789052402.4288757
c_0a4f984,3,15,8,6,1.208,0,0.018,0.346,50.05,121.52,0,1789052582.4288757
c_e54f158,6,80,42,24,0.364,0,0.026,1.116,23.7,103.88,1,1789052762.4288757
c_8f692ff,1,62,4,24,1.142,1,0.026,1.109,42.92,104.77,0,1789052942.4288757
c_ad359d3,3,47,8,6,1.135,0,0.026,0.369,33.77,119.75,1,1789053122.4288757
c_99fd08c,1,35,2,24,0.395,1,0.022,1.103,28.02,107.54,1,1789053302.4288757
c_1317475,1,44,12,6,1.125,1,0.023,0.357,36.26,102.6,0,1789053482.4288757
c_b6de626,1,73,25,24,0.381,0,0.027,1.117,25.21,110.15,0,1789053662.4288757
c_522858c,1,53,24,6,1.144,0,0.029,0.382,48.32,109.05,0,1789053842.4288757
c_7454959,3,63,7,6,0.411,0,0.024,0.353,47.95,119.58,0,1789054022.4288757
c_1d650c7,3,41,5,24,0.377,0,0.023,1.111,34.7,108.71,0,1789054202.4288757
c_1f890ac,1,133,77,18,1.133,0,0.038,0.863,32.03,112.51,0,1789054382.4288757
c_a576470,2,63,44,24,0.902,0,0.023,1.104,32.15,117.37,0,1789054562.4288757
c_febde37,3,32,11,6,1.127,0,0.021,0.348,25.14,102.3,0,1789054742.4288757
c_c5410a3,2,19,36,12,0.369,0,0.018,0.604,15.76,114.23,0,1789054922.4288757
c_46dd7ef,3,116,50,24,0.622,0,0.031,1.1,29.15,106.12,0,1789055102.4288757
c_77c1f1e,7,215,5,24,1.131,0,0.046,1.121,24.71,116.15,0,1789055282.4288757
c_fc4922d,3,24,9,24,1.167,0,0.018,1.088,49.73,104.59,1,1789055462.4288757
c_5e700ad,3,100,66,24,1.106,1,0.028,1.102,23.17,113.19,0,1789055642.4288757
c_8067b11,1,65,30,6,1.13,0,0.027,0.348,17.82,113.68,0,1789055822.4288757
c_425c2ca,1,53,5,6,0.374,0,0.024,0.352,20.68,109.05,0,1789056002.4288757
c_3743897,2,24,5,6,0.376,0,0.023,0.339,21.37,120.18,0,1789056182.4288757
c_fe14847,1,131,4,12,0.363,0,0.032,0.589,37.46,116.37,0,1789056362.4288757
c_8fe73b7,2,68,36,24,0.621,0,0.025,1.104,22.55,119.47,0,1789056542.4288757
c_4a8495f,1,35,20,24,1.129,0,0.02,1.111,29.24,107.55,0,1789056722.4288757
c_2353e56,4,121,9,24,1.13,0,0.032,1.107,38.7,102.05,0,1789056902.4288757
c_4f1beb3,2,10,10,6,1.139,0,0.018,0.359,34.28,110.44,0,1789057082.4288757
c_26337cd,2,41,2,6,0.377,0,0.022,0.343,37.83,118.39,0,1789057262.4288757
c_b20585a,3,97,52,24,0.365,0,0.029,1.1,24.78,113.82,0,1789057442.4288757
c_56b2c86,1,158,106,24,1.13,0,0.037,1.108,30.9,106.81,1,1789057622.4288757
c_48a313f,5,58,6,12,1.145,1,0.026,0.61,24.72,121.76,1,1789057802.4288757
c_a2e8180,3,45,29,6,0.636,1,0.02,0.347,15.99,111.05,1,1789057982.4288757
c_03318a1,1,38,20,24,0.367,1,0.021,1.105,32.44,117.73,0,1789058162.4288757
c_e597803,3,65,38,24,1.126,0,0.026,1.105,40.68,115.81,1,1789058342.4288757
c_a0d2b29,12,179,38,24,1.131,1,0.04,1.109,42.0,110.82,1,1789058522.4288757
c_02ea766,5,41,59,12,1.149,1,0.021,0.6,25.27,104.84,0,1789058702.4288757
c_0d1d090,4,95,0,12,0.621,0,0.029,0.595,38.99,110.23,0,1789058882.4288757
c_69be54f,6,28,43,24,0.624,0,0.02,1.096,27.06,104.53,0,1789059062.4288757
c_5998dc0,2,54,25,24,1.115,0,0.024,1.105,16.23,107.6,1,1789059242.4288757
c_cf5aece,1,5,28,24,1.13,1,0.018,1.098,25.06,119.83,0,1789059422.4288757
c_460b881,1,6,24,24,1.116,0,0.016,1.112,20.76,121.15,0,1789059602.4288757
c_fce1a04,2,9,25,24,1.128,0,0.015,1.101,35.64,109.69,0,1789059782.4288757
c_89cf7aa,2,50,27,6,1.117,0,0.021,0.335,37.27,118.72,0,1789059962.4288757
c_9bcb296,1,72,20,6,0.356,0,0.026,0.359,42.21,105.38,0,1789060142.4288757
c_64fd716,1,59,5,6,0.385,0,0.024,0.358,29.52,114.7,0,1789060322.4288757
c_ebaf948,5,26,55,24,0.382,0,0.018,1.09,20.6,116.63,0,1789060502.4288757
c_d6e87e2,1,23,56,12,1.108,0,0.017,0.595,25.42,106.3,0,1789060682.4288757
c_c51c011,2,59,30,6,0.612,0,0.022,0.349,60.37,105.82,1,1789060862.4288757
c_055f2fc,6,144,14,24,0.371,1,0.036,1.112,32.42,105.24,1,1789061042.4288757
c_3bb26d6,2,40,24,6,1.148,1,0.021,0.355,23.7,107.36,0,1789061222.4288757
c_483f554,3,11,5,6,0.376,0,0.018,0.356,51.41,120.28,0,1789061402.4288757
c_386b7ac,1,7,12,6,0.375,0,0.015,0.342,22.41,116.05,0,1789061582.4288757
c_e2ce5e0,2,143,55,12,0.357,0,0.038,0.607,27.37,111.78,0,1789061762.4288757
c_4e0bf31,3,52,17,24,0.645,0,0.023,1.099,31.75,105.9,0,1789061942.4288757
c_75b9714,3,225,75,24,1.122,0,0.046,1.109,24.9,115.75,1,1789062122.4288757
c_7d29659,2,11,1,24,1.154,1,0.017,1.096,28.09,120.06,1,1789062302.4288757
c_c3065d7,5,18,47,24,1.113,1,0.017,1.1,42.78,104.18,1,1789062482.4288757
c_e5f1e1c,2,49,17,6,1.117,1,0.021,0.342,26.89,112.29,1,1789062662.4288757
c_54667ca,1,46,3,6,0.363,1,0.02,0.352,40.43,111.54,0,1789062842.4288757
c_fe7ecd5,9,149,70,24,0.372,0,0.036,1.097,31.8,102.61,0,1789063022.4288757
c_ff3ee46,3,50,14,24,1.133,0,0.023,1.118,27.24,114.04,0,1789063202.4288757
c_c42bce0,1,9,35,24,1.141,0,0.017,1.108,17.03,111.61,0,1789063382.4288757
c_73c4836,3,36,9,6,1.124,0,0.019,0.358,29.21,108.15,0,1789063562.4288757
c_a5b69d6,2,245,6,24,0.378,0,0.051,1.103,69.49,121.66,0,1789063742.4288757
c_e598ea6,4,88,86,24,1.154,0,0.029,1.109,25.32,116.72,0,1789063922.4288757
c_aef9d23,2,42,1,6,1.138,0,0.022,0.356,25.23,102.4,1,1789064102.4288757
c_dbcba74,2,111,53,12,0.378,1,0.032,0.602,42.41,118.61,0,1789064282.4288757
c_8ed5a01,3,22,22,24,0.635,0,0.018,1.092,33.38,108.0,0,1789064462.4288757
c_15757ae,3,27,11,6,1.109,0,0.02,0.35,29.83,113.77,0,1789064642.4288757
c_e49e702,4,110,51,12,0.369,0,0.03,0.609,15.1,115.35,0,1789064822.4288757
c_9120e71,2,35,3,24,0.639,0,0.019,1.098,23.93,105.85,0,1789065002.4288757
c_33f10a8,3,16,35,12,1.117,0,0.016,0.589,34.67,118.84,0,1789065182.4288757
c_44a8995,1,146,35,24,0.605,0,0.035,1.094,49.51,102.93,1,1789065362.4288757
c_8fc0512,6,128,2,24,1.128,1,0.035,1.097,11.52,106.02,0,1789065542.4288757
c_c4dd2cb,8,164,31,24,1.133,0,0.038,1.109,15.16,110.25,0,1789065722.4288757
c_95b37f4,3,29,16,24,1.147,0,0.019,1.11,35.04,105.77,1,1789065902.4288757
c_c938ece,10,164,39,24,1.128,1,0.038,1.099,27.21,108.72,0,1789066082.4288757
c_e6571c2,7,46,16,24,1.136,0,0.023,1.101,38.34,117.82,0,1789066262.4288757
c_9d2e81c,2,24,51,12,1.124,0,0.018,0.602,16.67,105.94,0,1789066442.4288757
c_7440dec,2,73,12,12,0.62,0,0.024,0.604,32.68,106.65,0,1789066622.4288757
c_65c1105,1,51,15,6,0.628,0,0.022,0.351,35.55,103.4,0,1789066802.4288757
c_73c915b,3,19,4,24,0.373,0,0.017,1.098,61.18,114.11,0,1789066982.4288757
c_466c5da,2,75,4,24,1.116,0,0.026,1.106,24.23,121.25,0,1789067162.4288757
c_7269ff5,1,5,20,6,1.132,0,0.019,0.343,36.95,115.05,0,1789067342.4288757
c_4cc565f,1,43,12,6,0.362,0,0.021,0.339,41.08,103.22,0,1789067522.4288757
c_5f242b8,3,15,1,6,0.36,0,0.017,0.355,27.65,118.73,0,1789067702.4288757
c_2de930e,5,35,80,24,0.372,0,0.021,1.107,30.05,109.86,1,1789067882.4288757
c_850ab28,2,106,11,18,1.128,1,0.029,0.842,27.57,119.5,0,1789068062.4288757
c_f01a662,1,35,28,24,0.871,0,0.02,1.102,21.0,110.59,0,1789068242.4288757
c_4d147ca,3,93,21,24,1.122,0,0.027,1.103,21.03,112.46,0,1789068422.4288757
c_8566375,6,133,11,24,1.13,0,0.035,1.114,24.87,114.11,1,1789068602.4288757
c_4d1160a,5,223,70,24,1.149,1,0.05,1.157,55.86,118.85,1,1789068782.4288757
c_ef2acd2,3,16,5,24,1.206,1,0.022,1.122,30.89,111.52,0,1789068962.4288757
c_b72a021,1,189,9,24,1.144,0,0.042,1.104,29.99,113.63,0,1789069142.4288757
c_8edf75f,3,67,24,24,1.146,0,0.027,1.094,26.81,105.15,1,1789069322.4288757
c_d729e68,2,19,18,24,1.12,1,0.018,1.093,13.91,116.47,0,1789069502.4288757
c_26327f2,2,24,4,6,1.111,0,0.018,0.354,41.4,118.69,0,1789069682.4288757
c_116b399,1,46,7,24,0.373,0,0.021,1.118,26.97,103.23,0,1789069862.4288757
c_8255592,3,27,8,6,1.139,0,0.02,0.334,51.12,112.71,1,1789070042.4288757
c_2dd0ab6,1,9,19,6,0.354,1,0.016,0.339,33.95,104.79,0,1789070222.4288757
c_e7ffc24,4,84,28,24,0.354,0,0.027,1.176,53.18,108.73,1,1789070402.4288757
c_509f12e,3,107,1,24,1.203,1,0.038,1.117,47.97,105.08,0,1789070582.4288757
c_931cccb,2,24,21,24,1.155,0,0.017,1.108,32.51,109.1,0,1789070762.4288757
c_2d97966,2,46,14,6,1.126,0,0.024,0.349,15.67,105.57,0,1789070942.4288757
c_497c452,5,123,44,24,0.373,0,0.035,1.101,31.79,103.99,1,1789071122.4288757
c_5dde355,2,10,9,24,1.136,1,0.019,1.11,30.82,102.39,0,1789071302.4288757
c_45e3d51,6,98,47,24,1.129,0,0.03,1.102,16.94,116.78,0,1789071482.4288757
c_40be13a,2,8,18,24,1.132,0,0.017,1.114,14.94,116.32,0,1789071662.4288757
c_cdb150d,1,49,23,6,1.131,0,0.021,0.347,58.3,109.24,0,1789071842.4288757
c_4e90de5,5,6,1,24,0.368,0,0.017,1.171,50.62,106.91,0,1789072022.4288757
c_01e2ee3,2,5,21,24,1.188,0,0.017,1.097,35.03,109.08,0,1789072202.4288757
c_7b57ee3,5,105,31,24,1.115,0,0.033,1.109,38.44,102.23,0,1789072382.4288757
c_584074e,1,22,11,6,1.142,0,0.019,0.38,15.83,103.14,0,1789072562.4288757
c_a36b89b,3,81,11,12,0.4,0,0.028,0.605,18.95,109.24,0,1789072742.4288757
c_8da185d,9,94,42,24,0.633,0,0.028,1.112,26.06,110.0,0,1789072922.4288757
c_145aaf8,3,70,10,6,1.14,0,0.027,0.354,21.68,118.26,0,1789073102.4288757
c_456e0cc,1,159,15,24,0.381,0,0.037,1.105,25.81,111.36,1,1789073282.4288757
c_07da3b4,3,62,28,24,1.142,1,0.024,1.111,23.64,116.22,0,1789073462.4288757
c_f026509,1,85,22,24,1.135,0,0.026,1.097,34.93,114.26,0,1789073642.4288757
c_baa2eb5,3,23,19,24,1.123,0,0.018,1.092,25.02,119.02,0,1789073822.4288757
c_272ca04,5,134,34,24,1.11,0,0.033,1.09,28.11,102.36,0,1789074002.4288757
c_ec89c7c,1,54,25,6,1.123,0,0.022,0.342,12.65,118.06,0,1789074182.4288757
c_498f6ed,3,32,8,6,0.365,0,0.018,0.338,28.72,117.9,0,1789074362.4288757
